scenario_id,lead_time_increase_pct,cost_increase_pct,capacity_reduction_pct,reliability_score,recovery_time_days,total_cost_impact,duration_days,duration_category,duration_factor,severity_level,severity_multiplier,num_affected_nodes,complexity_score,affected_nodes,disruption_types,root_causes
mock_scenario_0000,0.95,0.95,0.95,0.24,109.15,1.235,74,long_term,1.5,extreme,2.0,2,0.4933,"['Australian Mining Region', 'Port of Los Angeles']","['Geopolitical Sanction', 'Pandemic Outbreak']",['Root cause 0']
mock_scenario_0001,0.7375,0.7125,0.775,0.38,12.32,0.855,9,medium_term,1.0,low,0.5,4,0.92,"['Port of Rotterdam', 'Suez Canal', 'Taiwan Semiconductor Facilities', 'Port of Los Angeles']","['Infrastructure Failure', 'Resource Shortage', 'Satellite Network Failure']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0002,0.95,0.95,0.95,0.24,14.75,1.14,10,medium_term,1.0,high,1.5,2,0.76,"['Panama Canal', 'Port of Rotterdam']","['Cyberattack', 'Geopolitical Sanction', 'Labor Strike']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0003,0.95,0.95,0.95,0.24,98.83,1.235,67,long_term,1.5,extreme,2.0,4,0.7867,"['German Automotive Region', 'Strait of Hormuz', 'Shenzhen Manufacturing Hub', 'Port of Shanghai']","['Cyberattack', 'Infrastructure Failure', 'Pandemic Outbreak']",['Root cause 0']
mock_scenario_0004,0.95,0.95,0.95,0.24,181.43,1.33,123,extended,2.0,extreme,2.0,3,0.7733,"['Shenzhen Manufacturing Hub', 'Taiwan Semiconductor Facilities', 'Port of Shanghai']","['Infrastructure Failure', 'Pandemic Outbreak', 'Cyberattack']","['Root cause 0', 'Root cause 1']"
mock_scenario_0005,0.95,0.95,0.95,0.24,69.33,1.235,47,long_term,1.5,extreme,2.0,4,0.7867,"['Taiwan Semiconductor Facilities', 'Strait of Hormuz', 'Shenzhen Manufacturing Hub', 'Panama Canal']","['Geopolitical Sanction', 'Resource Shortage']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0006,0.95,0.95,0.95,0.24,28.03,1.14,19,medium_term,1.0,extreme,2.0,4,0.6533,"['Australian Mining Region', 'Shenzhen Manufacturing Hub', 'German Automotive Region', 'Strait of Hormuz']","['Pandemic Outbreak', 'Extreme Weather']",['Root cause 0']
mock_scenario_0007,0.7375,0.6,0.85,0.32,192.99,0.84,141,extended,2.0,low,0.5,3,0.7067,"['Panama Canal', 'Port of Rotterdam', 'Shenzhen Manufacturing Hub']","['Pandemic Outbreak', 'Infrastructure Failure']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0008,0.95,0.95,0.95,0.24,253.7,1.33,172,extended,2.0,medium,1.0,4,0.8533,"['Taiwan Semiconductor Facilities', 'Shenzhen Manufacturing Hub', 'Strait of Hormuz', 'Panama Canal']","['Infrastructure Failure', 'Pandemic Outbreak', 'Satellite Network Failure']","['Root cause 0', 'Root cause 1']"
mock_scenario_0009,0.2,0.15,0.2,0.84,23.1,0.18,21,medium_term,1.0,medium,1.0,2,0.4933,"['Port of Los Angeles', 'Suez Canal']","['AI System Malfunction', 'Financial Collapse']",['Root cause 0']
mock_scenario_0000,0.95,0.95,0.95,0.24,250.75,1.33,170,extended,2.0,medium,1.0,2,0.76,"['Port of Los Angeles', 'Taiwan Semiconductor Facilities']","['Cyberattack', 'Pandemic Outbreak', 'Labor Strike']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0001,0.95,0.95,0.95,0.24,241.9,1.33,164,extended,2.0,extreme,2.0,4,0.7867,"['Taiwan Semiconductor Facilities', 'Australian Mining Region', 'Strait of Hormuz', 'Port of Los Angeles']","['Infrastructure Failure', 'Cyberattack', 'Satellite Network Failure']",['Root cause 0']
